platform,text,likes,comments,views,date,engagement,content_type,url
threads,1. Claude (solve anything) 2. ChatGPT (chat AI) 3. Postey AI (content creation) 4. Perplexity (research anything) 5. Midjourney (generate images) 6. Runway (create videos) 7. ElevenLabs (clone voices) 8. Notion AI (smart workspace) 9. Gamma (instant presentations) 10. Descript (edit podcasts) 11. Canva (design graphics)  ✅ Bookmark this list — these tools will 10x your productivity.,1526,12,0,2026-04-04,1698,thread,https://threads.com/t/DWsuqdSmOS4
threads,"I'm Boris and I created Claude Code. I wanted to quickly share a few tips for using Claude Code, sourced directly from the Claude Code team. The way the team uses Claude is different than how I use it. Remember: there is no one right way to use Claude Code -- everyones' setup is different. You should experiment to see what works for you!",6364,212,0,2026-01-31,7167,thread,https://threads.com/t/DUMZr4VElyb
threads,My 2026 AI stack (for now…):  1. Claude: Writing that feels like me 2. NotebookLM: Deep learning compressed into minutes 3. Claude Code: Coding software when it really matters  4. Claude Cowork: Building apps while on the treadmill ;) 5. Grok: Researching when you need the most current 6. Manus: Getting sh*t done without doing it myself,260,22,0,2026-03-29,293,thread,https://threads.com/t/DWcovpVEZx2
threads,"My 2 cents about all the AI frameworks for coding, I'm starting to think that for frontier models (Claude, GPT) they are unnecessary because the models are just that good.  I find it easier and leaner to rawdog AI and if necessary have your own set of rules that you can shaped from experience rather than use pre-packaged ones. Which means you need to have some experience in product and engineering.",1,2,0,2026-04-05,3,thread,https://threads.com/t/DWu--ZwDd1W
threads,"Nobody is talking about this… 👀 Anthropic just dropped 15 FREE Claude AI courses  Learn AI agents, Claude API, automation, MCP, and real-world workflows — all in one place. If you’re serious about AI in 2026, this is your unfair advantage.  Save this. Start before everyone else does.  #ClaudeAI #AItools #artificialintelligence",335,142,0,2026-03-29,505,thread,https://threads.com/t/DWeRecBiPVe
threads,"I'm Boris and I created Claude Code. Lots of people have asked how I use Claude Code, so I wanted to show off my setup a bit.  My setup might be surprisingly vanilla! Claude Code works great out of the box, so I personally don't customize it much. There is no one correct way to use Claude Code: we intentionally build it in a way that you can use it, customize it, and hack it however you like. Each person on the Claude Code team uses it very differently.  So, here goes.",5517,287,0,2026-01-02,6474,thread,https://threads.com/t/DTBVlMIkpcm
threads,"Cancel weekend plans.  You need to:  • Learn Claude Code • Learn Codex • Build 1–2 workflows in Cowork • Set up Perplexity Computer & Finance • Optimize Cowork (plugins + skills) • Set up OpenClaw • Test Google AI tools (Nano Banana 2, NotebookLM, etc.) • Try basic agentic tools (Manus) • Use AI to create a business plan • Build an AI second brain (Notion) • Try Notion Agents • Learn automation (MCPs, Zapier, n8n) • Learn prompt engineering • Read AI research/articles • Explore robotics",660,76,0,2026-04-04,794,thread,https://threads.com/t/DWsMlZfiO4L
threads,🔔BREAKING: Claude AI can now help you build a $1B company strategy. Use this prompt:,164,11,0,2026-03-17,201,thread,https://threads.com/t/DV--wNZE2XI
threads,Hey algorithm 👋 I want to connect with people who love:  • Claude  • AI • Claude code  • Vibe coding • Automation learner's/expert's  • Builder / developer • founder's  • Solopernurers  • building with Claude   Is Threads where my people are??,216,220,0,2026-03-31,440,thread,https://threads.com/t/DWiq31lE7tR
threads,"I built 7 Claude Skills that replaced 6+ hours of weekly marketing work.  Now I'm giving them all away.  The Founder Skills Vault:  → Viral Content Generator → Content Pillar Generator → LinkedIn Content Analyzer → Lead Magnet Idea Generator → LinkedIn to X Converter → Warm DM Strategist → Lead Qualifier  This isn't a prompt pack. These are production-grade tools that run inside Claude.  The same system I used to grow 10,000+ followers in 3 months.  Want it? → Like + RT → Comment ""FOUNDER""",227,396,0,2026-02-23,706,thread,https://threads.com/t/DVHpD8jjQkz
