platform,text,likes,comments,views,date,engagement,content_type,url
tiktok,#fyp #foryoupage #blowthisup,2900000,5148,32600000,2025-07-18,2935348,video,https://www.tiktok.com/@piperrockelle/video/7528539175499435278
tiktok,where have you been - @Rihanna (violin cover) #fyp #violin #cover #viral #musician,4700000,56300,33600000,2025-10-30,5702000,video,https://www.tiktok.com/@andrewzviolin/video/7567107451737181470
tiktok,"Yes, this was filmed in silence…@Journey #bob #flight #duo #dreadhead #flying #public #yolo #delta #airlines #funny #fyp #fypシ #viral #viralvideo #trending #girls #foryoupage #foryou @Ava Sue’s backup",14700000,28600,134400000,2025-07-07,16328600,video,https://www.tiktok.com/@alaskan.not.eskimo/video/7524124293039426871
tiktok,At no point in time should your significant other put their hands on you point blank period. #fyp #fypシ #foryou #foryoupage #relationship #dating ￼￼,11000000,118500,51200000,2021-03-28,11499300,video,https://www.tiktok.com/@bryanthediamond/video/6944707587497594117
tiktok,fr tho #fy,5336,377,572600,2025-03-14,6254,video,https://www.tiktok.com/@franncchii/video/7481502708256492830
tiktok,@charlidamelio ❤️ | #foryou #foryoupage #fy #fyp #xyzbca |,7500000,57800,41700000,2020-12-23,7569600,video,https://www.tiktok.com/@martinkrl/video/6909470233417862401
tiktok,BET || #teyanataylor #teyanatayloredit #straw #strawmovie #strawedit #viral #foryoupage #fypシ Teyana Taylor edit  Straw movie netflix,2200000,8769,13600000,2025-06-14,2285569,video,https://www.tiktok.com/@aepnathqn/video/7515842668312759583
tiktok,#socal #beach #fyp,2000000,4435,12000000,2025-10-06,2114435,video,https://www.tiktok.com/@user2886338134208/video/7558063545687018807
tiktok,#seal #sealion #walrus #viral #fyp,2300000,11500,13600000,2026-03-06,2755000,video,https://www.tiktok.com/@seal_sealion/video/7613990576601484558
tiktok,I had to try #transition#foryoupage#4upage#foryou#smallgestures,3300000,15500,28500000,2020-04-04,3339400,video,https://www.tiktok.com/@brookemonk_/video/6811753893924523269
tiktok,Pizza on my tongue 😂🍕🔥 ( @Jumo ) #tylerthecreator #trend #viral #fyp,2000000,2658,19700000,2025-08-28,2048858,video,https://www.tiktok.com/@jerseyyjoe/video/7543749607164038413
tiktok,She may be onto something 🤯 #fyp #foryou,2000000,57000,35400000,2024-10-07,2077900,video,https://www.tiktok.com/@andythesk/video/7423051292500593927
tiktok,#theogpeppa #fyp #FY #fypシ,2200000,16100,16400000,2025-01-17,2912000,video,https://www.tiktok.com/@theogpeppa/video/7460690899526339882
tiktok,CALL 7! | song: Nightcrawler (instrumental) | Credits: @Mizerki Audios | #ronaldo #7 #cr7 #cristiano #cristianoronaldo #ronaldo7 #fyp #foryou #foryoupage #viral #ronaldoedit #ronaldoedits #football #footballedits #footballtiktok #rashford #marcusrasford #edit #edits #goat #goatoffootball #soccer #audios #editaudios #repost #dontflop,2000000,7135,13300000,2024-02-23,2021135,video,https://www.tiktok.com/@bxxsta/video/7338901722850479378
tiktok,im still in denial… #fypシ #foryou,4400000,29600,18500000,2025-01-14,5086900,video,https://www.tiktok.com/@iisaiahnana/video/7459632883276336414
tiktok,2020 was so good pls like this took a while #2020 #fyp #nostalgia #edit #foryoupage,3300000,12100,16400000,2026-03-22,3746500,video,https://www.tiktok.com/@fweah280/video/7620145467334167839
tiktok,The last moments of the greatest lion in history #viral #shorts #youtube #video #fyp #foryou #trending #unfreez #unfreezmyaccount #scarface #scarfacelion,2400000,7766,30900000,2025-09-12,2442066,video,https://www.tiktok.com/@prom67346/video/7549240203106471174
tiktok,These are the best hard times covers. #hardtimes #paramore #top4 #covers #music #theglow #fyp,2100000,7444,13000000,2025-02-28,2134944,video,https://www.tiktok.com/@howcontentmachine/video/7476501322703932718
tiktok,Greatest bottle flip of all. #fyp,2100000,9761,13700000,2025-11-25,2310761,video,https://www.tiktok.com/@d.prime4/video/7576809786163973407
tiktok,ft. my fav person in the whole world 💕 #fyp #bayarea #singing,2100000,19100,12500000,2025-10-14,2245500,video,https://www.tiktok.com/@trytofindlex/video/7560929011652758839
tiktok,150K?!?! THANK YOU❤️ I love watching yall do this trend😊 #sugaronmytongue #foryoupage #fyp #trending #viral,13700000,33900,152200000,2025-09-14,14089700,video,https://www.tiktok.com/@kimberlykimpena/video/7550079975332842782
tiktok,Day two editing with no phonk #nophonk #daytwo #metroman #titan #fyp,2200000,8681,16400000,2025-11-19,2292181,video,https://www.tiktok.com/@a57.o7/video/7574454696736345357
tiktok,leave it to the pros #4u#mood#foryoupage,2200000,6217,15600000,2020-04-08,2210627,video,https://www.tiktok.com/@brookemonk_/video/6813217614395985157
