platform,text,likes,comments,views,date,engagement,content_type,url
twitter,"Our CEO Dario went on Hard Fork this week to discuss AI safety, his journey to starting Anthropic, and https://t.co/RxKnLNNcNR. Listen here!  https://t.co/GdjtCG1Jvj",100,6,32228,2023-07-21,134,tweet,https://x.com/AnthropicAI/status/1682437770864922624
twitter,"We’re excited to welcome 200 developers to our first-ever Anthropic Hackathon this weekend.  Hackers are creating projects with the Claude API, connecting with our technical team, catching a prompt engineering workshop, and more.  Stay tuned to see what they #BuildwithClaude! https://t.co/fcKcDd9Q2I",537,21,86228,2023-07-29,629,tweet,https://x.com/AnthropicAI/status/1685382878765703168
twitter,Like a magic wand that turns chatbots evil.  https://t.co/QIhuhjG84F,9,1,18098,2023-07-27,14,tweet,https://x.com/mashable/status/1684673818399272962
twitter,"We recently released the latest version of the Claude API, which includes updates to our Python and TypeScript SDKs.  New features improve performance, make it easier to parse code, and increase SDK parity.  https://t.co/XBjDQMAubr https://t.co/pEgh95XBCh",288,28,61153,2023-08-01,401,tweet,https://x.com/AnthropicAI/status/1686427225829363712
twitter,https://t.co/WS647D7GU2 is really good! also yay eligible :) https://t.co/tzTN9vbubw,10,0,3124,2023-07-31,12,tweet,https://x.com/katgleason/status/1686011711243837440
twitter,Unbiased Opinion:  Claude AI far outperforms ChatGPT and Google Bard. It provides exceptionally good experience and doesn’t play it safe.,62,25,9459,2023-08-03,105,tweet,https://x.com/eyishazyer/status/1687185277612105728
twitter,"Here's an useful exercise for academics that can show you the value (and limits) of AI, and can also help you with your own work  Go to Claude 2 (free for now: https://t.co/cKPfALpAzs), upload a PDF of a paper you wrote, and ask it for suggestions about the practical implications https://t.co/NyvuUAQw11",360,13,98998,2023-07-28,748,tweet,https://x.com/emollick/status/1684971874869026816
twitter,The discovery could spell big trouble for anyone hoping to deploy a LLM in a public-facing application. https://t.co/0oC8N3C3P3,4,0,5484,2023-07-28,6,tweet,https://x.com/FortuneMagazine/status/1685061726612426752
twitter,"Researchers jailbreak AI chatbots like ChatGPT, Claude  https://t.co/YDRJ7MvHHi",6,0,579,2023-07-27,8,tweet,https://x.com/ds_nana_/status/1684693999217737728
twitter,What Is Claude AI and Why Should You Use It? https://t.co/rhIZFuMOqG,1,0,687,2023-07-27,2,tweet,https://x.com/MUO_official/status/1684582923457138689
