date_only,rows,total_engagement,avg_engagement
2019-01-26,1,794,794.0
2020-04-04,1,3339400,3339400.0
2020-04-08,1,2210627,2210627.0
2020-12-23,1,7569600,7569600.0
2021-03-28,1,11499300,11499300.0
2021-03-30,1,338,338.0
2021-05-12,1,800442,800442.0
2021-09-02,1,249438,249438.0
2021-11-02,1,650450,650450.0
2022-01-13,1,1605514,1605514.0
2022-01-28,1,58813,58813.0
2022-01-31,1,26160,26160.0
2022-04-29,1,1051,1051.0
2023-02-22,1,5180,5180.0
2023-07-16,1,0,0.0
2023-07-17,2,3,1.5
2023-07-18,6,179,29.833333333333332
2023-07-19,2,56,28.0
2023-07-20,4,66,16.5
2023-07-21,5,149,29.8
2023-07-22,2,0,0.0
2023-07-23,3,8,2.6666666666666665
2023-07-24,1,0,0.0
2023-07-26,4,99,24.75
2023-07-27,7,74,10.571428571428571
2023-07-28,10,796,79.6
2023-07-29,7,733,104.71428571428571
2023-07-30,3,27,9.0
2023-07-31,13,459,35.30769230769231
2023-08-01,6,408,68.0
2023-08-02,5,75,15.0
2023-08-03,10,195,19.5
2023-08-04,4,11,2.75
2023-08-05,1,2022100,2022100.0
2023-08-16,1,48,48.0
2023-09-23,1,4,4.0
2024-01-07,1,25892,25892.0
2024-02-23,1,2021135,2021135.0
2024-03-05,2,54599,27299.5
2024-03-09,1,76268,76268.0
2024-03-14,1,8,8.0
2024-04-04,1,125,125.0
2024-04-10,1,1538,1538.0
2024-05-13,1,1,1.0
2024-06-10,1,386,386.0
2024-06-18,1,561,561.0
2024-06-20,2,1708,854.0
2024-06-21,4,147,36.75
2024-06-23,4,682,170.5
2024-06-24,1,1383,1383.0
2024-06-26,1,174,174.0
2024-07-01,1,382,382.0
2024-07-02,1,1119,1119.0
2024-07-04,1,3538,3538.0
2024-07-05,1,23,23.0
2024-07-11,1,4196,4196.0
2024-07-12,1,584,584.0
2024-07-13,1,0,0.0
2024-07-16,1,128,128.0
2024-07-17,1,1294,1294.0
2024-07-19,3,1401,467.0
2024-08-01,1,20,20.0
2024-08-22,1,102,102.0
2024-09-03,1,972,972.0
2024-09-14,1,459255,459255.0
2024-09-20,1,10,10.0
2024-09-23,1,38,38.0
2024-09-24,1,5958,5958.0
2024-09-25,1,0,0.0
2024-10-03,1,153,153.0
2024-10-06,1,8516,8516.0
2024-10-07,1,2077900,2077900.0
2024-10-12,1,81,81.0
2024-10-22,3,9491,3163.6666666666665
2024-10-23,4,660,165.0
2024-10-24,3,2009,669.6666666666666
2024-10-25,1,1747,1747.0
2024-10-26,1,21,21.0
2024-10-27,2,28,14.0
2024-10-29,1,14,14.0
2024-10-31,1,13,13.0
2024-11-01,2,154,77.0
2024-11-04,1,5,5.0
2024-11-07,1,12261,12261.0
2024-11-17,1,192,192.0
2024-11-24,1,10,10.0
2024-11-29,2,322,161.0
2024-11-30,3,86,28.666666666666668
2024-12-01,7,6054,864.8571428571429
2024-12-02,32,1458,45.5625
2024-12-03,44,5523,125.52272727272727
2024-12-08,1,28,28.0
2024-12-12,2,49,24.5
2025-01-02,1,102,102.0
2025-01-03,1,852,852.0
2025-01-04,1,27,27.0
2025-01-12,1,9607,9607.0
