week,mentions,total_engagement,avg_engagement,mentions_trend,engagement_trend
2019-01-21,1,794,794.0,-16.221704704238448,640026.8020493712
2020-03-30,1,3339400,3339400.0,-15.640312063344178,652325.172840841
2020-04-06,1,2210627,2210627.0,-15.058919422449906,664623.5436323108
2020-12-21,1,7569600,7569600.0,-14.477526781555635,676921.9144237806
2021-03-22,1,11499300,11499300.0,-13.896134140661363,689220.2852152504
2021-03-29,1,338,338.0,-13.314741499767093,701518.6560067203
2021-05-10,1,800442,800442.0,-12.733348858872823,713817.0267981901
2021-08-30,1,249438,249438.0,-12.151956217978551,726115.39758966
2021-11-01,1,650450,650450.0,-11.57056357708428,738413.7683811298
2022-01-10,1,1605514,1605514.0,-10.98917093619001,750712.1391725997
2022-01-24,1,58813,58813.0,-10.407778295295739,763010.5099640695
2022-01-31,1,26160,26160.0,-9.826385654401468,775308.8807555393
2022-04-25,1,1051,1051.0,-9.244993013507198,787607.2515470091
2023-02-20,1,5180,5180.0,-8.663600372612926,799905.6223384789
2023-07-10,1,0,0.0,-8.082207731718656,812203.9931299487
2023-07-17,24,461,19.208333333333332,-7.500815090824384,824502.3639214186
2023-07-24,32,1729,54.03125,-6.919422449930114,836800.7347128884
2023-07-31,39,2023248,51878.153846153844,-6.338029809035843,849099.1055043582
2023-08-14,1,48,48.0,-5.756637168141571,861397.4762958281
2023-09-18,1,4,4.0,-5.175244527247301,873695.8470872978
2024-01-01,1,25892,25892.0,-4.593851886353029,885994.2178787678
2024-02-19,1,2021135,2021135.0,-4.012459245458759,898292.5886702376
2024-03-04,3,130867,43622.333333333336,-3.4310666045644886,910590.9594617074
2024-03-11,1,8,8.0,-2.8496739636702166,922889.3302531772
2024-04-01,1,125,125.0,-2.2682813227759464,935187.701044647
2024-04-08,1,1538,1538.0,-1.6868886818816762,947486.0718361168
2024-05-13,1,1,1.0,-1.1054960409874042,959784.4426275867
2024-06-10,1,386,386.0,-0.5241034000931339,972082.8134190565
2024-06-17,11,3098,281.6363636363636,0.05728924080113629,984381.1842105263
2024-06-24,2,1557,778.5,0.6386818816954083,996679.5550019962
2024-07-01,4,5062,1265.5,1.2200745225896803,1008977.9257934659
2024-07-08,3,4780,1593.3333333333333,1.8014671634839488,1021276.2965849359
2024-07-15,5,2823,564.6,2.3828598043782208,1033574.6673764056
2024-07-29,1,20,20.0,2.9642524452724928,1045873.0381678755
2024-08-19,1,102,102.0,3.545645086166761,1058171.4089593452
2024-09-02,1,972,972.0,4.127037727061033,1070469.7797508151
2024-09-09,1,459255,459255.0,4.708430367955305,1082768.1505422848
2024-09-16,1,10,10.0,5.289823008849574,1095066.5213337548
2024-09-23,3,5996,1998.6666666666667,5.871215649743846,1107364.8921252247
2024-09-30,2,8669,4334.5,6.452608290638118,1119663.2629166944
2024-10-07,2,2077981,1038990.5,7.03400093153239,1131961.633708164
2024-10-21,14,13956,996.8571428571429,7.615393572426658,1144260.004499634
2024-10-28,4,181,45.25,8.19678621332093,1156558.375291104
2024-11-04,2,12266,6133.0,8.778178854215202,1168856.7460825737
2024-11-11,1,192,192.0,9.35957149510947,1181155.1168740434
2024-11-18,1,10,10.0,9.940964136003743,1193453.4876655135
2024-11-25,12,6462,538.5,10.522356776898015,1205751.8584569832
2024-12-02,77,7009,91.02597402597402,11.103749417792283,1218050.229248453
2024-12-09,2,49,24.5,11.685142058686555,1230348.6000399229
2024-12-30,3,981,327.0,12.266534699580827,1242646.9708313928
2025-01-06,1,9607,9607.0,12.847927340475096,1254945.3416228625
2025-01-13,2,7998900,3999450.0,13.429319981369368,1267243.7124143322
2025-01-20,2,11351,5675.5,14.01071262226364,1279542.0832058021
2025-01-27,4,2156,539.0,14.592105263157908,1291840.453997272
2025-02-03,2,3529,1764.5,15.17349790405218,1304138.8247887418
2025-02-10,1,12156,12156.0,15.754890544946452,1316437.1955802115
2025-02-17,1,26,26.0,16.33628318584072,1328735.5663716814
2025-02-24,9,2239290,248810.0,16.917675826734992,1341033.9371631513
2025-03-03,1,525,525.0,17.499068467629264,1353332.307954621
2025-03-10,4,11676,2919.0,18.080461108523536,1365630.678746091
2025-03-17,1,3069700,3069700.0,18.66185374941781,1377929.049537561
2025-03-24,3,134,44.666666666666664,19.243246390312073,1390227.4203290306
2025-04-07,2,2215,1107.5,19.824639031206345,1402525.7911205003
2025-04-14,2,734,367.0,20.406031672100617,1414824.1619119702
2025-04-28,2,4507,2253.5,20.98742431299489,1427122.5327034402
2025-05-05,4,1084,271.0,21.56881695388916,1439420.9034949099
2025-05-12,1,0,0.0,22.150209594783433,1451719.2742863796
2025-05-19,10,7249,724.9,22.731602235677705,1464017.6450778495
2025-05-26,1,29,29.0,23.31299487657197,1476316.0158693194
2025-06-02,9,5808,645.3333333333334,23.894387517466242,1488614.3866607891
2025-06-09,6,9104060,1517343.3333333333,24.475780158360514,1500912.7574522588
2025-06-16,7,10612,1516.0,25.057172799254786,1513211.128243729
2025-06-23,5,27495,5499.0,25.63856544014906,1525509.4990351987
2025-06-30,1,2909,2909.0,26.21995808104333,1537807.8698266684
2025-07-07,6,16336126,2722687.6666666665,26.801350721937595,1550106.2406181383
2025-07-14,6,2940237,490039.5,27.382743362831867,1562404.6114096083
2025-07-21,8,22660,2832.5,27.96413600372614,1574702.982201078
2025-07-28,9,11342,1260.2222222222222,28.54552864462041,1587001.3529925477
2025-08-04,7,5831,833.0,29.126921285514683,1599299.7237840176
2025-08-11,6,4309,718.1666666666666,29.708313926408955,1611598.0945754875
2025-08-18,8,13808,1726.0,30.289706567303227,1623896.4653669572
2025-08-25,3,2049061,683020.3333333334,30.871099208197492,1636194.836158427
2025-09-01,5,5473243,1094648.6,31.452491849091764,1648493.2069498969
2025-09-08,6,16532544,2755424.0,32.033884489986036,1660791.5777413668
2025-09-15,3,191,63.666666666666664,32.61527713088031,1673089.9485328365
2025-09-22,5,2673023,534604.6,33.19666977177458,1685388.3193243064
2025-09-29,16,19300,1206.25,33.77806241266885,1697686.6901157761
2025-10-06,4,2115050,528762.5,34.35945505356312,1709985.060907246
2025-10-13,12,2280474,190039.5,34.94084769445739,1722283.4316987158
2025-10-20,6,696,116.0,35.52224033535166,1734581.8024901857
2025-10-27,9,11193138,1243682.0,36.10363297624593,1746880.1732816556
2025-11-03,8,2162069,270258.625,36.685025617140205,1759178.5440731253
2025-11-10,4,37918,9479.5,37.26641825803448,1771476.9148645953
2025-11-17,9,2300010,255556.66666666666,37.84781089892874,1783775.285656065
2025-11-24,14,2353276,168091.14285714287,38.429203539823014,1796073.656447535
2025-12-01,11,12758,1159.8181818181818,39.010596180717286,1808372.0272390046
2025-12-08,10,48582,4858.2,39.59198882161156,1820670.3980304745
2025-12-15,14,3671595,262256.78571428574,40.17338146250583,1832968.7688219442
2025-12-22,10,22668,2266.8,40.7547741034001,1845267.1396134142
2025-12-29,9,188766,20974.0,41.336166744294374,1857565.510404884
2026-01-05,12,68345,5695.416666666667,41.91755938518864,1869863.8811963538
2026-01-12,12,4913233,409436.0833333333,42.49895202608291,1882162.2519878235
2026-01-19,5,7805,1561.0,43.08034466697718,1894460.6227792935
2026-01-26,7,37091,5298.714285714285,43.661737307871455,1906758.9935707634
2026-02-02,22,125094,5686.090909090909,44.24312994876573,1919057.364362233
2026-02-09,24,88379,3682.4583333333335,44.82452258966,1931355.735153703
2026-02-16,29,130922,4514.551724137931,45.405915230554264,1943654.1059451727
2026-02-23,84,1029327,12253.892857142857,45.987307871448536,1955952.4767366427
2026-03-02,66,3675156,55684.181818181816,46.56870051234281,1968250.8475281124
